question_id,question,ground_truth,model_name,generated_answer,latency_seconds,context_length,score,reasoning
8,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là bao nhiêu?,853.000 đồng/tín chỉ.,Llama 3.1 8B,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là 853.000 đồng/Tín chỉ.,0.53,4166,10,"Câu trả lời của AI khớp hoàn toàn với Ground Truth, cung cấp đúng số tiền và đơn vị."
8,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là bao nhiêu?,853.000 đồng/tín chỉ.,Llama 3.3 70B,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là 853.000 đồng.,2.83,4166,10,"Câu trả lời AI cung cấp đúng số tiền và đơn vị như Ground Truth, không thiếu chi tiết nào."
8,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là bao nhiêu?,853.000 đồng/tín chỉ.,Groq Compound Mini,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là **853.000 đồng** (theo các ghi chú trong tài liệu).,6.92,4166,10,"Câu trả lời AI cung cấp đúng số tiền 853.000 đồng/tín chỉ, trùng khớp với Ground Truth và không thiếu thông tin."
9,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là khi nào?,Từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,Llama 3.1 8B,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,6.95,5207,10,"Câu trả lời của AI hoàn toàn khớp với Ground Truth, truyền đạt đúng thời gian đăng ký học phần"
9,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là khi nào?,Từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,Llama 3.3 70B,Thời gian đăng ký học phần từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,0.58,5207,10,"Câu trả lời AI truyền đạt đầy đủ và chính xác thông tin như Ground Truth, không thiếu chi tiết nào."
9,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là khi nào?,Từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,Groq Compound Mini,"Thời gian đăng ký học phần đợt 1 cho học kỳ I năm học 2025‑2026 là:

**09:00 ngày 11 tháng 8 năm 2025 → 07:30 ngày 18 tháng 8 năm 2025**.",11.02,5207,10,"Câu trả lời AI truyền đạt đúng thời gian đăng ký học phần đợt 1 như Ground Truth, không sai lệch nào."
10,Sinh viên đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,Số tín chỉ sinh viên được đăng ký tối đa là 28 tín chỉ.,Llama 3.1 8B,"Theo văn bản, sinh viên đăng ký tối đa không vượt quá 28 tín chỉ trong một học kỳ.",0.59,4123,10,"Câu trả lời AI truyền đạt đúng thông tin rằng sinh viên tối đa đăng ký 28 tín chỉ, tương đồng với Ground Truth."
10,Sinh viên đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,Số tín chỉ sinh viên được đăng ký tối đa là 28 tín chỉ.,Llama 3.3 70B,Sinh viên đăng ký tối đa 28 tín chỉ trong một học kỳ.,1.73,4123,10,Câu trả lời AI truyền đạt đúng và đầy đủ thông tin như Ground Truth.
10,Sinh viên đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,Số tín chỉ sinh viên được đăng ký tối đa là 28 tín chỉ.,Groq Compound Mini,"Sinh viên được phép đăng ký tối đa **28 tín chỉ** trong một học kỳ. (Dựa trên các văn bản nguồn #1, #2 và #3)",6.71,4123,10,"Câu trả lời AI truyền đạt đúng và đầy đủ thông tin chính là 28 tín chỉ, trùng khớp với Ground Truth."
11,Sinh viên năm cuối được ưu tiên đăng ký học phần như thế nào?,Được ưu tiên đăng ký trước từ 1 đến 2 ngày so với các sinh viên khác.,Llama 3.1 8B,"Căn cứ vào văn bản ""NGUỒN #4"", sinh viên năm cuối được ưu tiên đăng ký học phần trước từ 1 đến 2 ngày so với các sinh viên khác. Trong thời gian ưu tiên, sinh viên năm cuối không được phép đăng ký học các học phần cải thiện và các học phần ngoài chương trình đào tạo.",0.83,4634,8,"AI truyền đạt đúng ý chính là ưu tiên đăng ký trước 1‑2 ngày, nhưng thêm thông tin không có trong Ground Truth có thể gây hiểu lầm, nên không đạt điểm tối đa."
11,Sinh viên năm cuối được ưu tiên đăng ký học phần như thế nào?,Được ưu tiên đăng ký trước từ 1 đến 2 ngày so với các sinh viên khác.,Llama 3.3 70B,"Sinh viên năm cuối được ưu tiên đăng ký học phần trước từ 1 đến 2 ngày so với các sinh viên khác. Trong thời gian ưu tiên, sinh viên không được phép đăng ký học các học phần cải thiện và các học phần ngoài chương trình đào tạo.",3.07,4634,7,"Câu trả lời AI truyền đạt đúng phần chính (ưu tiên đăng ký 1‑2 ngày sớm) nhưng thêm thông tin không có trong Ground Truth và có thể không chính xác, làm giảm độ chính xác tổng thể."
11,Sinh viên năm cuối được ưu tiên đăng ký học phần như thế nào?,Được ưu tiên đăng ký trước từ 1 đến 2 ngày so với các sinh viên khác.,Groq Compound Mini,"**Ưu tiên đăng ký của sinh viên năm cuối**

- **Thời gian ưu tiên:** Sinh viên năm cuối (cùng với sinh viên học kéo dài) được phép đăng ký học phần **trước 1‑2 ngày** so với các sinh viên khác.  
- **Giới hạn nội dung đăng ký trong thời gian ưu tiên:** Trong khoảng thời gian này, họ **không được đăng ký** các học phần:
  - Tự chọn (học phần ngoài chương trình đào tạo)  
  - Cải thiện điểm (học phần cải thiện)  
  - Các học phần không thuộc chương trình đào tạo của mình.  

- **Cơ cấu phân luồng thời gian (năm học 2025‑2026):**  

| Đợt | Thời gian đăng ký | Đối tượng chính (ngoài SV năm cuối) |
|-----|-------------------|--------------------------------------|
| **Đợt 1** | 09:00 ngày 11/8/2025 → 07:30 ngày 18/8/2025 | SV hệ Đại trà, CLC tiếng Việt, CLC Việt‑Nhật (khóa 2021 trở về trước) |
| **Đợt 2** | 09:00 ngày 12/8/2025 → 07:30 ngày 18/8/2025 | SV hệ Đại trà (khóa 2022); CLC tiếng Việt, CLC Việt‑Nhật các khóa còn lại |
| **Đợt 3** | 09:00 ngày 13/8/2025 → 07:30 ngày 18/8/2025 | Tất cả SV hệ Đại trà và các chương trình tiếng Việt, Việt‑Nhật còn lại |

- **Cách thực hiện:** Sinh viên năm cuối đăng ký trong **đợt sớm nhất** (đợt 1) và chỉ được phép chọn các học phần **có trong danh sách mở** và **đáp ứng điều kiện tiên quyết**; các học phần tự chọn, cải thiện hoặc ngoài chương trình phải đợi đến sau thời gian ưu tiên.  ",8.31,4634,9,"AI truyền đạt đúng ý chính là sinh viên năm cuối được ưu tiên đăng ký trước 1‑2 ngày, đồng thời cung cấp thêm chi tiết không sai lệch, nên đáp ứng yêu cầu."
12,Địa chỉ website để đăng ký môn học là gì?,https://dkmh.hcmute.edu.vn,Llama 3.1 8B,Địa chỉ website để đăng ký môn học là https://online.hcmute.edu.vn.,0.56,4828,1,"AI cung cấp địa chỉ website khác với địa chỉ chuẩn, không đúng thông tin yêu cầu."
12,Địa chỉ website để đăng ký môn học là gì?,https://dkmh.hcmute.edu.vn,Llama 3.3 70B,https://online.hcmute.edu.vn,4.7,4828,1,"AI cung cấp URL khác với địa chỉ chuẩn, không đúng thông tin yêu cầu"
12,Địa chỉ website để đăng ký môn học là gì?,https://dkmh.hcmute.edu.vn,Groq Compound Mini,Địa chỉ website để đăng ký môn học là: **https://online.hcmute.edu.vn**.,10.48,4828,1,"AI cung cấp địa chỉ website khác với địa chỉ chuẩn, không đúng thông tin yêu cầu."
13,Điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là bao nhiêu?,Điểm trung bình chung tích lũy của toàn khóa học đạt từ 5.00 trở lên (đối với khóa 2020 trở về trước) hoặc từ trung bình trở lên (đối với khóa 2021 trở đi).,Llama 3.1 8B,"Căn cứ vào văn bản tham khảo, điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là đạt từ 5.00 trở lên (theo NGUỒN #1 và NGUỒN #2) hoặc đạt từ trung bình trở lên (theo NGUỒN #3).",0.65,4504,6,"AI nêu đúng mức điểm (≥5.00 hoặc ≥trung bình) nhưng không chỉ rõ phân chia theo khóa (2020 trở về trước, 2021 trở đi), thiếu chi tiết quan trọng."
13,Điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là bao nhiêu?,Điểm trung bình chung tích lũy của toàn khóa học đạt từ 5.00 trở lên (đối với khóa 2020 trở về trước) hoặc từ trung bình trở lên (đối với khóa 2021 trở đi).,Llama 3.3 70B,"Để được xét tốt nghiệp, sinh viên cần có điểm trung bình tích lũy của toàn khóa học đạt từ 5.00 trở lên (theo nguồn #1 và #2) hoặc đạt từ trung bình trở lên (theo nguồn #3). Tuy nhiên, nguồn #1 và #2 cụ thể hơn với mức điểm 5.00 trở lên.",1.96,4504,9,"Câu trả lời AI truyền đạt đúng cả hai điều kiện (điểm ≥5.00 cho khóa trước 2020 và điểm trung bình trở lên cho khóa 2021 trở đi), chỉ thiếu chi tiết thời gian nhưng nội dung chính vẫn chính xác."
13,Điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là bao nhiêu?,Điểm trung bình chung tích lũy của toàn khóa học đạt từ 5.00 trở lên (đối với khóa 2020 trở về trước) hoặc từ trung bình trở lên (đối với khóa 2021 trở đi).,Groq Compound Mini,"Điểm trung bình chung tích lũy của toàn khóa học phải đạt **từ 5,00 trở lên** để sinh viên được xét tốt nghiệp. (theo Điều 27 trong các quyết định được trích dẫn)",8.39,4504,5,"AI chỉ nêu điều kiện chung là từ 5,00 trở lên, nhưng bỏ qua phần quy định riêng cho khóa 2021 trở đi, nên thông tin không đầy đủ."
14,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là bao nhiêu?,120.000Đ (Một trăm hai mươi ngàn đồng).,Llama 3.1 8B,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là 120.000Đ (Một trăm hai mươi ngàn đồng).,0.63,4563,10,"Câu trả lời của AI hoàn toàn khớp với Ground Truth, truyền đạt đúng thông tin về lệ phí."
14,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là bao nhiêu?,120.000Đ (Một trăm hai mươi ngàn đồng).,Llama 3.3 70B,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là 120.000 đồng.,3.82,4563,10,"Câu trả lời AI cung cấp đúng số tiền và đơn vị như Ground Truth, không thiếu chi tiết nào."
14,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là bao nhiêu?,120.000Đ (Một trăm hai mươi ngàn đồng).,Groq Compound Mini,"Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học, ngành Sư phạm Tiếng Anh là **120.000 đồng**. (Nguồn: Thông báo nộp lệ phí làm bằng TN ĐHCQ đợt 5.2025)",8.96,4563,10,"Câu trả lời AI cung cấp đúng số tiền 120.000 đồng như Ground Truth, không thiếu chi tiết và thông tin chính xác."
15,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là khi nào?,Từ ngày 20-31/10/2025.,Llama 3.1 8B,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là từ ngày 20-31/10/2025.,0.63,4124,10,Câu trả lời của AI truyền đạt đúng và đầy đủ thông tin như Ground Truth.
15,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là khi nào?,Từ ngày 20-31/10/2025.,Llama 3.3 70B,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là từ ngày 20-31/10/2025.,3.82,4124,10,"Câu trả lời của AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không thiếu chi tiết nào."
15,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là khi nào?,Từ ngày 20-31/10/2025.,Groq Compound Mini,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025‑2026 là từ ngày 20 đến 31 tháng 10 năm 2025.,7.83,4124,10,"Câu trả lời AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không sai lệch."
16,Sinh viên bị ốm trong đợt thi cần làm gì để xin điểm I?,Làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế.,Llama 3.1 8B,"Để xin điểm I khi bị ốm trong đợt thi, sinh viên cần làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế. Sau đó, nộp đơn và giấy tờ về văn phòng Khoa, sau khi có xác nhận của Khoa thì nộp về Phòng Đào tạo hoặc Phòng Hợp tác và Phát triển Đào tạo.",0.66,4322,10,"Câu trả lời AI bao gồm đầy đủ nội dung của Ground Truth và bổ sung chi tiết bổ trợ mà không sai lệch, nên đáp ứng yêu cầu một cách hoàn chỉnh."
16,Sinh viên bị ốm trong đợt thi cần làm gì để xin điểm I?,Làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế.,Llama 3.3 70B,Sinh viên bị ốm trong đợt thi cần làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế.,3.78,4322,10,"Câu trả lời của AI hoàn toàn trùng khớp với nội dung chuẩn, truyền đạt đúng các bước cần làm và yêu cầu giấy tờ y tế."
16,Sinh viên bị ốm trong đợt thi cần làm gì để xin điểm I?,Làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế.,Groq Compound Mini,"Sinh viên nghỉ ốm trong đợt thi phải **làm đơn xin nhận điểm I** cho các học phần không tham gia thi được và **đính kèm giấy tờ của cơ quan y tế** (giấy khám bệnh, đơn thuốc có dấu đỏ…).  

Quy trình thực hiện:

1. **Nộp online** (trong thời gian 20‑31/10/2025):  
   - Đăng nhập tài khoản trên trang https://online.hcmute.edu.vn/ → “CHỨC NĂNG TRỰC TUYẾN” → “Đăng ký các mẫu đơn”.  
   - Chọn **Loại đăng ký “Nhận điểm I”** và đợt đăng ký “Đợt 1 – Điểm I HK1/2025‑2026”.  
   - Up lên file minh chứng (giấy khám bệnh/đơn thuốc).  
   - Nhập lý do xin nhận điểm I.  
   - Chọn học phần muốn nhận điểm I và nhấn **Lưu**.  

2. **Nếu nộp bản giấy**:  
   - Gửi đơn và giấy tờ y tế tới văn phòng Khoa; sau khi Khoa xác nhận, nộp lại cho Phòng Đào tạo (hoặc Phòng Hợp tác & Phát triển Đào tạo).  

Sau khi hoàn tất, sinh viên theo dõi kết quả duyệt trên mục “Thông báo cá nhân”.  

*(Dựa trên NGUỒN #1, #2, #3, #4, #5)*",8.66,4322,9,Câu trả lời AI truyền đạt đúng nội dung chính của Ground Truth (làm đơn xin điểm I và kèm giấy tờ y tế) và bổ sung chi tiết quy trình thực hiện mà không sai lệch.
17,Học phần thay thế được đăng ký trong trường hợp nào?,"Khi môn học trong chương trình đào tạo không còn mở lớp hoặc đã đăng ký môn học cùng tên, số tín chỉ nhưng khác mã và có nội dung tương đương.",Llama 3.1 8B,"Học phần thay thế được đăng ký trong trường hợp:

- Môn học trong chương trình đào tạo không còn mở lớp và môn học thay thế đã được Khoa tư vấn và đồng ý (theo Thông báo nhận đơn xin thay thế môn học).
- Môn học trong chương trình đào tạo không còn mở lớp và môn học thay thế đã được Khoa tư vấn và đồng ý (theo Thông báo nhận đơn xin thay thế môn học).
- Môn học cùng tên môn, số tín chỉ nhưng khác mã môn học và có nội dung tương đương được Khoa đồng ý (theo Thông báo nhận đơn xin thay thế môn học).
- Học phần hay một nhóm các học phần thuộc chương trình đào tạo của một ngành/chuyên ngành có nội dung gần giống có thể thay thế cho học phần hoặc một nhóm học phần thuộc chương trình đào tạo của ngành/chuyên ngành khác không còn tổ chức giảng dạy (theo Quyết định ban hành Quy chế đào tạo trình độ đại học).",0.79,4243,9,"AI nêu đúng hai trường hợp chính của ground truth (môn không mở lớp và môn cùng tên, số tín chỉ nhưng mã khác, nội dung tương đương) và bổ sung chi tiết nhưng không sai, vì vậy đáp ứng yêu cầu."
17,Học phần thay thế được đăng ký trong trường hợp nào?,"Khi môn học trong chương trình đào tạo không còn mở lớp hoặc đã đăng ký môn học cùng tên, số tín chỉ nhưng khác mã và có nội dung tương đương.",Llama 3.3 70B,"Học phần thay thế được đăng ký trong trường hợp môn học trong chương trình đào tạo không còn mở lớp và môn học thay thế đã được Khoa tư vấn và đồng ý; hoặc đã đăng ký môn học cùng tên môn, số tín chỉ nhưng khác mã môn học và có nội dung tương đương được Khoa đồng ý.",1.81,4243,9,"AI nêu đúng hai trường hợp chính của Ground Truth, chỉ thêm chi tiết về việc cần sự đồng ý của Khoa, không làm sai lệch nội dung chính."
