question_id,question,ground_truth,generated_answer,score,reasoning,process_level,latency_seconds
11,cho e hỏi đkmh đợt bổ sung hk1 năm nay là ngày nào v ạ?,Thời gian đăng ký bổ sung đợt 2 của HK1 là từ 09g00 ngày 27/10/2025 đến 07g30 ngày 03/11/2025.,"Đợt 1: Thời gian đăng ký học phần từ 09g00 ngày 27/10/2025 đến 07g30 ngày 03/11/2025 bao gồm: SV hệ Đại trà từ khóa 2022 trở về trước và tất cả SV hệ CLC tiếng Việt, hệ CLC Việt-Nhật. Đợt 2: Thời gian đăng ký học phần từ 09g00 ngày 28/10/2025 đến 07g30 ngày 03/11/2025 bao gồm: Tất cả SV hệ Đại trà, SV thuộc các chương trình đào tạo tiếng Việt, Việt-Nhật thuộc các khóa còn lại (kể cả sinh viên khóa 2025).",3.0,"AI cung cấp thông tin không chính xác và gây nhầm lẫn. Nó liệt kê hai đợt đăng ký với ngày khác nhau, trong khi đáp án đúng chỉ có một đợt (từ 27/10/2025 09:00 đến 03/11/2025 07:30). Thông tin thừa và sai lệch làm câu trả lời không đáp ứng đúng yêu cầu của câu hỏi.",1,20.25
12,SV năm 3 đkmh HKI 25-26 đợt mấy z?,"Sinh viên năm 3 (tức khóa 2023 trở về trước) đăng ký học phần vào Đợt 1, thời gian từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.","Trong học kỳ I (HKI) năm học 2025‑2026, chương trình được chia thành 2 đợt: Đợt 1 (tuần 1‑11, gồm 9 tuần học và 2 tuần thi) và Đợt 2 (tuần 12‑22, cũng gồm 9 tuần học và 2 tuần thi). Do đó sinh viên năm 3 sẽ tham gia cả Đợt 1 và Đợt 2 của HKI.",2.0,"The ground truth states that third‑year students register only in Đợt 1 (from 09:00 11/8/2025 to 07:30 18/8/2025). The AI answer incorrectly claims that they participate in both Đợt 1 and Đợt 2, which directly contradicts the correct information. Hence the answer is largely incorrect, meriting a low score.",1,13.67
13,Nợ học phí có bị xóa tên k?,"Có. Sinh viên sẽ bị xóa tên khỏi danh sách sinh viên đối với các trường hợp không đóng học phí, nghỉ học không phép từ một học kỳ trở lên.","Sinh viên không đóng học phí đúng thời hạn quy định sẽ bị xử lý theo Quy chế công tác Học sinh, sinh viên. Trước thời gian đăng ký môn học, sinh viên còn nợ học phí của các học kỳ trước sẽ không được phép đăng ký môn học của học kỳ tiếp theo.",4.0,"Câu trả lời của AI đề cập đến việc sinh viên không đóng học phí sẽ bị xử lý và không được đăng ký môn học, nhưng không trả lời trực tiếp câu hỏi ""Nợ học phí có bị xóa tên không?"". Nội dung quan trọng về việc ""xóa tên"" không được nhắc tới, nên đáp án không đầy đủ và chỉ phản ánh một phần quy chế, dẫn đến điểm số thấp.",1,41.91
14,Muốn nộp CCNN để miễn TA đầu ra đợt tháng 9/2025 nộp ở đâu thế?,"Nộp trực tuyến (online) tại trang https://online.hcmute.edu.vn, mục 'Chức năng trực tuyến / Đăng ký các mẫu đơn'.","Bạn cần nộp chứng chỉ ngoại ngữ qua hệ thống trực tuyến của trường:

**Link:** https://online.hcmute.edu.vn  
**Thao tác:** Vào mục “Chức năng trực tuyến / Đăng ký các mẫu đơn”, chọn loại đăng ký “chuyển điểm ngoại ngữ và miễn thi ngoại ngữ”.  

Sau khi điền thông tin và tải lên chứng chỉ, hệ thống sẽ xác nhận nộp thành công.",9.0,"Câu trả lời của AI cung cấp đúng địa chỉ trang web và mục cần truy cập như chuẩn, đồng thời bổ sung chi tiết về việc chọn loại đăng ký phù hợp. Không có thông tin sai hoặc thiếu quan trọng, chỉ có thêm hướng dẫn chi tiết, nên xếp vào mức 8‑10 điểm.",0,0.0
15,e k tham gia sh lớp thì bị trừ bnh điểm rèn luyện?,Không tham gia sinh hoạt lớp sẽ bị trừ 2 điểm rèn luyện cho mỗi lần vắng.,"Trong tiêu chí đánh giá rèn luyện (Nguồn #1), mục “c) Hỗ trợ và tham gia tích cực vào các hoạt động chung của lớp, tập thể, khoa và trường” được chấm từ 0‑10 điểm và ảnh hưởng trực tiếp tới tổng điểm rèn luyện. Nếu sinh viên không tham gia sinh hoạt lớp, điểm ở mục này sẽ bị giảm, dẫn đến tổng điểm rèn luyện giảm và có thể làm thay đổi xếp loại (ví dụ: từ xuất sắc xuống tốt hoặc từ tốt xuống khá). Ngoài ra, nếu sinh hoạt lớp được coi là hoạt động CTXH và sinh viên không thực hiện mà đã đăng ký, theo Nguồn #4 sẽ bị trừ 0,5 ngày CTXH, cũng làm giảm điểm rèn luyện.",7.0,"Câu trả lời cung cấp thông tin chung đúng về việc không tham gia sinh hoạt lớp sẽ làm giảm điểm rèn luyện và ảnh hưởng tới xếp loại, đồng thời đề cập tới việc trừ 0,5 ngày CTXH. Tuy nhiên, nó không nhắc tới cụ thể mức trừ 2 điểm rèn luyện cho mỗi lần vắng như trong gợi ý (GT), nên độ chính xác và đầy đủ chưa hoàn toàn, dẫn đến điểm chưa tối đa.",2,63.38
16,SV CLC T.Anh K2024 học phí 1 kì bao nhiêu?,Sinh viên khóa 2024 hệ CLC dạy bằng Tiếng Anh đóng học phí là 32.000.000 đồng/học kỳ.,"Theo Quy định thu học phí năm học 2025‑2026, học phí cho sinh viên chương trình CLC (chất lượng cao) ngành Anh ngữ (Năm 1) của Khóa 2024 là 70.000.000 đồng/năm học. Vì các khóa 2023‑2025 đóng học phí theo học kỳ, nên học phí cho 1 kỳ của sinh viên CLC T.Anh Khóa 2024 là 70.000.000 ÷ 2 = 35.000.000 đồng.",2.0,"AI cung cấp mức học phí 35.000.000 đồng cho một kỳ, trong khi đáp án đúng là 32.000.000 đồng/kỳ. Thông tin AI không khớp với GT, chỉ đúng phần tính chia năm học thành hai kỳ nhưng số liệu cơ bản sai, vì vậy điểm thấp.",1,9.0
17,Bị cảnh cáo học vụ mấy lần thì đuổi học z?,Sinh viên sẽ bị buộc thôi học (đuổi học) nếu bị cảnh cáo học tập 3 lần liên tiếp.,"Theo quy định của Trường ĐH Sư phạm Kỹ thuật TP.HCM, sinh viên sẽ bị buộc thôi học (đuổi học) khi **có 3 lần cảnh báo / cảnh cáo học tập liên tiếp**.",9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định sinh viên sẽ bị buộc thôi học khi có 3 lần cảnh cáo học tập liên tiếp, phù hợp với chuẩn. Không có chi tiết quan trọng nào bị thiếu hoặc sai.",0,0.0
18,rút bớt môn học trong đợt đkmh là có bị mất tiền k ạ?,"Nếu bạn rút bớt trong thời gian 'điều chỉnh đăng ký học phần' thì sẽ không mất học phí. Tuy nhiên, nếu rút bớt trong tuần 5 của học kỳ chính, bạn sẽ mất toàn bộ học phí cho các môn đã rút.","Có. Theo quy chế:

- **Trong thời gian điều chỉnh đăng ký học phần** (đợt rút bớt qua mạng), sinh viên **không phải đóng học phí** cho các học phần đã rút.  
- **Sau thời gian trên**, nếu sinh viên rút bớt trong vòng 1 tuần (tuần 5 của mỗi đợt học) theo thông báo của Phòng Đào tạo, **phải đóng học phí** cho các học phần đã rút.  

Vì vậy, việc có mất tiền hay không phụ thuộc vào thời điểm rút bớt.",10.0,"Câu trả lời của AI nêu rõ hai trường hợp: rút bớt trong thời gian 'điều chỉnh đăng ký học phần' không mất học phí, và rút bớt trong tuần 5 của học kỳ chính sẽ mất toàn bộ học phí. Nội dung hoàn toàn khớp với chuẩn, không thiếu chi tiết quan trọng.",0,0.0
19,đi trễ giờ thực tập bị trừ đrl không?,"Có, đến muộn giờ học hoặc giờ thực tập sẽ bị trừ 1 điểm rèn luyện mỗi lần.","Theo quy chế, sinh viên đi muộn (đi trễ giờ thực tập) mà không có lý do chính đáng phải chịu hình thức xử lý. Nếu sinh viên đăng ký tham gia hoạt động (hoặc thực tập) nhưng không thực hiện đúng thời gian, họ có thể bị trừ 0,5 ngày công tác xã hội (CTXH) hoặc bị trừ toàn bộ ngày CTXH đã tích lũy tùy mức độ vi phạm. Ngoài ra, việc vi phạm có thể dẫn đến kỷ luật (ví dụ khiển trách, cảnh cáo…) và theo Điều 11 quy định, khi bị kỷ luật mức khiển trách, kết quả đánh giá rèn luyện không được vượt quá loại khá; bị kỷ luật mức cảnh cáo, không vượt quá loại trung bình. Do đó, việc đi trễ giờ thực tập mà không có lý do chính đáng có thể làm giảm số ngày CTXH được tính và/hoặc dẫn đến kỷ luật, ảnh hưởng tiêu cực tới điểm rèn luyện của sinh viên.",4.0,"AI trả lời đúng rằng đi trễ sẽ bị xử lý và ảnh hưởng tới điểm rèn luyện, nhưng mô tả hình phạt không khớp với Ground Truth (không đề cập tới việc trừ 1 điểm rèn luyện mỗi lần, mà nói tới trừ ngày CTXH và các hình thức kỷ luật khác).",2,44.02
20,ĐTBTL bao nhiêu thì bị đưa vào diện thử thách học tập v?,"Sinh viên bị thử thách học tập nếu ĐTB Tích lũy dưới 1.2 (năm 1), dưới 1.4 (năm 2), dưới 1.6 (năm 3), hoặc dưới 1.8 (năm tiếp theo).","ĐTBTL (điểm trung bình tích lũy) sẽ đưa sinh viên vào diện **thử thách học tập** khi:

- **Năm thứ nhất:** ĐTBTL < 1,2  
- **Năm thứ hai:** ĐTBTL < 1,4  
- **Năm thứ ba:** ĐTBTL < 1,6  
- **Các năm tiếp theo (năm thứ tư trở lên):** ĐTBTL < 1,8.",10.0,"Câu trả lời của AI truyền đạt đúng và đầy đủ các ngưỡng ĐTB Tích lũy cho từng năm như trong chuẩn: <1.2 năm 1, <1.4 năm 2, <1.6 năm 3, và <1.8 các năm tiếp theo. Không có thông tin sai hay thiếu sót.",0,0.0
21,Điểm chữ D có được tính là qua môn và tích lũy tín chỉ không?,"Tùy thuộc vào học kỳ. Học phần học ở HK1/2021-2022 đến HK1/2022-2023 thì chỉ cần từ điểm D là đạt. Nhưng từ HK2/2022-2023 trở về sau, phải đạt từ điểm D+ trở lên mới được tính là đạt và tích lũy.","**Có**, nhưng chỉ trong một khoảng thời gian và đối tượng đào tạo nhất định:

- **Học kỳ 1/2021‑2022 → Học kỳ 1/2022‑2023**:  
  - Điểm chữ **D** được xếp **“đạt”** (theo bảng phân loại của nguồn #3).  
  - Do vậy, học phần có điểm D **được tính là qua môn** và **tín chỉ được tích lũy** (theo quy định “đạt từ điểm D trở lên” – nguồn #3, #4, #5).

- **Học kỳ 2/2022‑2023 trở về sau**:  
  - Điểm chữ **D** được xếp **“không đạt”** (bảng phân loại của nguồn #3).  
  - Khi đó, học phần **không được tính tích lũy**; chỉ từ **D+** trở lên mới được coi là đạt và tích lũy tín chỉ.

- **Đối tượng đào tạo**:  
  - Đối với **đào tạo theo tín chỉ** (theo niên chế) trong giai đoạn trên, D vẫn là đạt (đối với tín chỉ) trong học kỳ 1/2021‑2022 → 1/2022‑2023; sau đó yêu cầu D+.  
  - Đối với **đào tạo theo niên chế**, quy định luôn yêu cầu **từ D+ trở lên** mới được tính tích lũy (nguồn #5).

**Tóm lại:**  
- **Có** tính qua môn và tích lũy tín chỉ khi điểm chữ D nằm trong học kỳ 1/2021‑2022 đến 1/2022‑2023 (và áp dụng cho đào tạo theo tín chỉ).  
- **Không** tính qua môn và không tích lũy tín chỉ cho các học kỳ từ 2/2022‑2023 trở đi; lúc đó cần ít nhất D+.",10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: nêu rõ rằng trong học kỳ HK1/2021‑2022 đến HK1/2022‑2023 điểm D được tính là đạt và tích lũy tín chỉ, còn từ HK2/2022‑2023 trở về sau cần ít nhất D+ mới đạt. Ngoài ra AI còn bổ sung chi tiết về loại hình đào tạo mà không gây mâu thuẫn, nên đáp ứng đầy đủ yêu cầu.",0,0.0
22,Khóa 2024 học phí chương trình chuẩn đã bao gồm tiền môn Giáo dục quốc phòng và an ninh chưa?,"Chưa. Học phí khóa 2024 không bao gồm các học phần GDQP&AN, sinh viên phải đóng riêng với đơn giá 853.000 đồng/tín chỉ.","Không, học phí khóa 2024 của chương trình chuẩn **không bao gồm** học phần Giáo dục quốc phòng và an ninh.",9.0,"Câu trả lời của AI truyền đạt đúng ý chính: học phí khóa 2024 của chương trình chuẩn không bao gồm môn Giáo dục quốc phòng và an ninh. Mặc dù không nêu chi tiết về mức phí riêng (853.000 đồng/tín chỉ), nhưng đáp ứng đầy đủ yêu cầu của câu hỏi.",0,0.0
23,Em nộp chứng chỉ tiếng Anh quốc tế vào học kỳ 8 để xin miễn thi học phần Kỹ năng giao tiếp TA 1 có được không?,Không được. Sinh viên chỉ được sử dụng chứng chỉ để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,"Không. Theo quy định, sinh viên chỉ được dùng chứng chỉ tiếng Anh quốc tế để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh trong 7 học kỳ đầu tiên. Từ học kỳ thứ 8 trở đi, sinh viên phải đăng ký học các học phần này thay vì xin miễn thi.",10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: xác nhận rằng không được phép dùng chứng chỉ tiếng Anh quốc tế để xin miễn thi học phần Kỹ năng giao tiếp TA 1 ở học kỳ 8, vì chỉ áp dụng trong 7 học kỳ đầu tiên.",0,0.0
24,Chứng chỉ TOEIC 2 kỹ năng 500 điểm có được dùng để miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1 không?,"Không. Việc miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1 yêu cầu sinh viên phải sử dụng chứng chỉ TOEIC 4 kỹ năng (mức điểm 385-785), không chấp nhận TOEIC 2 kỹ năng.","Không. Theo quy định chỉ chấp nhận chứng chỉ TOEIC **4 kỹ năng** với điểm từ 385‑785 (cấp A2) để được miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1. Chứng chỉ TOEIC **2 kỹ năng** 500 điểm không nằm trong danh sách các chứng chỉ được công nhận, vì vậy không được dùng để miễn thi học phần này.",10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: nói rõ không được miễn thi, yêu cầu chứng chỉ TOEIC 4 kỹ năng với điểm 385‑785 và không chấp nhận TOEIC 2 kỹ năng 500 điểm. Nội dung đầy đủ, chi tiết và không có sai sót.",0,0.0
25,Sinh viên học lực Yếu bị cảnh báo học tập thì có bị giới hạn số tín chỉ đăng ký không?,"Không bị giới hạn cụ thể (vẫn có thể đăng ký từ 10 đến 28 tín chỉ). Tuy nhiên, các sinh viên bị cảnh báo học tập cần tham khảo ý kiến tư vấn viên ở các đơn vị đào tạo để điều chỉnh kế hoạch học tập cho phù hợp.","Không có quy định riêng giới hạn số tín chỉ đăng ký đối với sinh viên bị **cảnh báo học tập**.  Các sinh viên, dù bị cảnh báo hay không, chỉ phải tuân thủ quy định chung về khối lượng học tập trong mỗi học kỳ (tối thiểu 10 tín chỉ, tối đa 28 tín chỉ, trừ các trường hợp đặc biệt được nêu ở Khoản 4 của Quy chế). Vì vậy, sinh viên học lực yếu bị cảnh báo học tập không bị áp đặt một giới hạn tín chỉ đăng ký bổ sung.",9.0,"Câu trả lời của AI truyền đạt đúng ý chính: sinh viên bị cảnh báo học tập không có giới hạn tín chỉ riêng, vẫn đăng ký từ 10‑28 tín chỉ theo quy định chung. Thông tin này hoàn toàn khớp với chuẩn. Tuy nhiên AI không nhắc tới lời khuyên tham khảo ý kiến tư vấn viên như trong chuẩn, nên chưa đạt điểm tối đa.",0,0.0
26,Sinh viên học cùng lúc 2 chương trình có được cấp 2 bằng tốt nghiệp cùng lúc không?,Sinh viên chỉ được xét tốt nghiệp chương trình thứ 2 nếu đã có đủ điều kiện tốt nghiệp ở chương trình thứ 1 và đã đăng ký muộn nhất 2 năm trước thời điểm xét tốt nghiệp chương trình thứ 2.,"**Có**, sinh viên có thể được xét tốt nghiệp và cấp bằng cho cả hai chương trình, nhưng phải đáp ứng các điều kiện sau:

1. Đã hoàn thành đủ điều kiện tốt nghiệp chương trình thứ nhất.  
2. Đã đăng ký học chương trình thứ hai **ít nhất 2 năm** trước thời điểm xét tốt nghiệp chương trình thứ hai.  
3. Đạt các tiêu chuẩn học lực và các yêu cầu bảo đảm chất lượng của chương trình thứ hai (theo Điều 20, khoản 2).  

Nếu các điều kiện này được thỏa mãn, sinh viên có thể nhận hai bằng tốt nghiệp (có thể cùng lúc hoặc trong các đợt tốt nghiệp khác nhau tùy quyết định của Trường).  

*Nếu không đáp ứng các điều kiện trên, sinh viên sẽ không được xét tốt nghiệp và cấp bằng cho chương trình thứ hai.*",9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên chỉ được xét tốt nghiệp chương trình thứ hai nếu đã đủ điều kiện tốt nghiệp chương trình thứ nhất và đã đăng ký không muộn hơn 2 năm trước thời điểm xét tốt nghiệp. AI cũng khẳng định có thể nhận hai bằng nếu đáp ứng các điều kiện này, đồng thời bổ sung một số yêu cầu chung không sai. Vì đáp ứng đầy đủ nội dung chính và không có sai lệch, nên điểm cao (8‑10).",0,0.0
27,Sinh viên đạt 2 danh hiệu là 'Sinh viên 5 tốt cấp trường' và 'Cán bộ đoàn tiêu biểu cấp trường' thì được tiền thưởng là bao nhiêu?,Tổng cộng 1.700.000 đồng (1.000.000 đồng cho SV 5 tốt cấp trường + 700.000 đồng cho Cán bộ đoàn tiêu biểu cấp trường).,Mức tiền thưởng cho sinh viên vừa đạt danh hiệu 'Sinh viên 5 tốt cấp trường' vừa là 'Cán bộ đoàn tiêu biểu cấp trường' là 1.000.000 + 700.000 = 1.700.000 đồng.,10.0,Câu trả lời của AI khớp hoàn toàn với đáp án chuẩn: tổng tiền thưởng là 1.000.000 + 700.000 = 1.700.000 đồng. Không có sai sót nào.,1,32.16
28,"Sinh viên có điểm trung bình tích lũy toàn khóa loại Giỏi, nhưng năm 2 từng bị kỷ luật đình chỉ học tập 1 năm do thi hộ, thì khi tốt nghiệp sẽ bị xếp hạng bằng loại gì?",Xếp loại Khá. Bằng tốt nghiệp của sinh viên bị giảm đi một mức (từ Giỏi xuống Khá) do đã từng bị kỷ luật từ mức cảnh cáo trở lên trong thời gian học.,"Sinh viên sẽ bị **giảm một mức hạng** do đã bị kỷ luật từ mức cảnh cáo trở lên (đình chỉ học tập). Vì điểm trung bình toàn khóa thuộc loại **Giỏi**, hạng tốt nghiệp sẽ được hạ xuống **Khá**.",10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên sẽ bị giảm một mức hạng do kỷ luật và do điểm trung bình là Giỏi nên hạng tốt nghiệp sẽ hạ xuống Khá, đúng với chuẩn Xếp loại Khá.",0,0.0
29,Điểm I (hoãn thi) có thể được bảo lưu và gia hạn nợ qua các năm được không?,Không. Sinh viên được yêu cầu phải thi trả nợ điểm I trong tối đa 2 học kỳ tiếp theo. Nếu quá hạn sẽ không được giữ điểm I.,"**Trả lời:**  

- **Điểm I (hoãn thi)** chỉ được **bảo lưu tối đa hai học kỳ** tiếp theo (theo quy định “In đơn điểm I … để lưu và trả điểm I ở tối đa hai học kỳ tiếp theo”).  
- **Việc gia hạn nợ** được quy định riêng trong chính sách tín dụng và không liên quan tới việc bảo lưu điểm I. Ngân hàng chỉ cho phép gia hạn thời hạn trả nợ tối đa bằng **1/2 thời hạn trả nợ** và không cho phép kéo dài nợ “qua các năm” dựa trên điểm I.  

Vì vậy, **điểm I không thể được bảo lưu và gia hạn nợ qua các năm**; nó chỉ được giữ lại trong thời gian tối đa hai học kỳ, còn việc gia hạn nợ phải tuân theo các quy định riêng về nợ học phí và vay vốn.",9.0,"Câu trả lời của AI truyền đạt đúng ý chính: điểm I chỉ được bảo lưu tối đa hai học kỳ và không thể kéo dài qua các năm. Nội dung bổ sung về việc gia hạn nợ ngân hàng không ảnh hưởng đến tính đúng đắn của câu trả lời, chỉ là thông tin thừa. Vì vậy đáp ứng tiêu chí 8‑10 điểm.",0,0.0
30,Uống bia rượu trong giờ học lần thứ 2 sẽ bị trường xử lý kỷ luật ở mức nào?,Cảnh cáo.,"Theo quy định, uống rượu, bia trong giờ học lần thứ 2 sẽ bị xử lý **cảnh cáo**.",9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định rằng mức kỷ luật là ""cảnh cáo"" như trong chuẩn. Không có chi tiết thừa hoặc thiếu, đáp ứng đầy đủ yêu cầu.",0,0.0
31,Sinh viên hệ đại trà K2023 làm đơn xin kéo dài thời gian làm khóa luận tốt nghiệp trong 3 tháng thì phải đóng mức phí tổng cộng là bao nhiêu?,3.000.000 đồng.,Không tìm thấy thông tin về mức phí gia hạn 3 tháng cho sinh viên hệ đại trà K2023 khi làm khóa luận trong các nguồn dữ liệu cung cấp.,1.0,"Câu trả lời của AI không cung cấp mức phí yêu cầu và thậm chí còn khẳng định không tìm thấy thông tin, trong khi đáp án đúng (GT) là 3.000.000 đồng. Do đó AI hoàn toàn không đáp ứng yêu cầu câu hỏi.",2,79.74
32,Sinh viên ngành Kỹ thuật cơ khí có thể đăng ký học môn 'Sức bền vật liệu (Cơ khí)' ngay trong học kỳ đầu tiên không?,"Không. Môn Sức bền vật liệu (Cơ khí) yêu cầu phải học trước học phần tiên quyết là 'Cơ kỹ thuật' (ENME142020), môn này thường được bố trí ở học kỳ 2.",Không,5.0,"Câu trả lời đúng (Không) nhưng thiếu giải thích chi tiết về học phần tiên quyết và học kỳ thường được bố trí, không đáp ứng đầy đủ nội dung chuẩn.",1,17.02
