question_id,question,ground_truth,generated_answer,latency_seconds,score,reasoning
11,cho e hỏi đkmh đợt bổ sung hk1 năm nay là ngày nào v ạ?,Thời gian đăng ký bổ sung đợt 2 của HK1 là từ 09g00 ngày 27/10/2025 đến 07g30 ngày 03/11/2025.,"Thời gian đăng ký học phần bổ sung cho học kỳ I (HK1) năm học 2025‑2026 là:

- **Đợt 1:** 09:00 ngày 27/10/2025 → 07:30 ngày 03/11/2025  
- **Đợt 2:** 09:00 ngày 28/10/2025 → 07:30 ngày 03/11/2025  

(Như thông báo trong các nguồn #1 và #2.)",1.85,2.0,"Câu trả lời của AI không khớp với chuẩn. Ground Truth chỉ yêu cầu ngày đăng ký bổ sung đợt 2 của HK1 (27/10/2025 – 03/11/2025). AI vừa đưa ra thông tin về đợt 1 không liên quan, vừa sai ngày cho đợt 2 (nói là 28/10/2025 thay vì 27/10/2025). Do đó thông tin cung cấp không đúng và gây nhầm lẫn."
12,SV năm 3 đkmh HKI 25-26 đợt mấy z?,"Sinh viên năm 3 (tức khóa 2023 trở về trước) đăng ký học phần vào Đợt 1, thời gian từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.","SV năm 3 trong học kỳ I (HKI) năm học 2025‑2026 sẽ học **cả hai đợt** của HKI:

- **Đợt 1**: tuần 1‑11 (9 tuần học + 2 tuần thi)  
- **Đợt 2**: tuần 12‑22 (9 tuần học + 2 tuần thi)

Do đó, sinh viên năm 3 không chỉ ở một đợt mà tham gia **đợt 1 và đợt 2** của HKI.",2.46,2.0,"Câu trả lời của AI hoàn toàn sai so với chuẩn. Ground truth nói rằng sinh viên năm 3 chỉ đăng ký học phần vào Đợt 1 (từ 09:00 ngày 11/8/2025 đến 07:30 ngày 18/8/2025). AI lại khẳng định sinh viên năm 3 sẽ học cả Đợt 1 và Đợt 2, thông tin này không đúng và thiếu chi tiết quan trọng, do đó chỉ được điểm thấp (1‑3)."
13,Nợ học phí có bị xóa tên k?,"Có. Sinh viên sẽ bị xóa tên khỏi danh sách sinh viên đối với các trường hợp không đóng học phí, nghỉ học không phép từ một học kỳ trở lên.",Tôi không tìm thấy.,1.21,1.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' mà không cung cấp thông tin đúng về việc nợ học phí sẽ bị xóa tên, trái hoàn toàn với chuẩn đáp án. Do đó, đáp án sai hoàn toàn và không liên quan."
14,Muốn nộp CCNN để miễn TA đầu ra đợt tháng 9/2025 nộp ở đâu thế?,"Nộp trực tuyến (online) tại trang https://online.hcmute.edu.vn, mục 'Chức năng trực tuyến / Đăng ký các mẫu đơn'.","Bạn cần nộp chứng chỉ ngoại ngữ qua hệ thống trực tuyến của trường:

**Link:** https://online.hcmute.edu.vn  
**Thao tác:** Vào mục “Chức năng trực tuyến / Đăng ký các mẫu đơn”, chọn loại đăng ký “chuyển điểm ngoại ngữ và miễn thi ngoại ngữ”.  

Sau khi điền thông tin và tải lên chứng chỉ, hệ thống sẽ xác nhận nộp thành công.",1.28,9.0,"Câu trả lời của AI cung cấp đúng địa chỉ trang web và mục cần truy cập như chuẩn, đồng thời bổ sung chi tiết về việc chọn loại đăng ký phù hợp. Không có thông tin sai hoặc thiếu quan trọng, chỉ có thêm hướng dẫn chi tiết, nên xếp vào mức 8‑10 điểm."
15,e k tham gia sh lớp thì bị trừ bnh điểm rèn luyện?,Không tham gia sinh hoạt lớp sẽ bị trừ 2 điểm rèn luyện cho mỗi lần vắng.,Tôi không tìm thấy.,1.13,1.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' mà không cung cấp thông tin đúng về việc sẽ bị trừ 2 điểm rèn luyện cho mỗi lần vắng, do đó hoàn toàn không đáp ứng yêu cầu và sai hoàn toàn."
16,SV CLC T.Anh K2024 học phí 1 kì bao nhiêu?,Sinh viên khóa 2024 hệ CLC dạy bằng Tiếng Anh đóng học phí là 32.000.000 đồng/học kỳ.,"SV CLC (chương trình chuẩn) ngành Tiếng Anh, khóa 2024: học phí năm đầu là 70.000.000 đồng/năm. Vì khóa 2024 đóng học phí theo học kỳ, nên học phí 1 kì = 70.000.000 ÷ 2 = **35.000.000 đồng**.",1.83,2.0,"Câu trả lời của AI đưa ra mức học phí 35.000.000 đồng cho một học kỳ, trong khi chuẩn là 32.000.000 đồng. Mặc dù AI nêu đúng rằng học phí tính theo học kỳ, nhưng số tiền đưa ra sai, vì vậy thông tin không chính xác và không đáp ứng yêu cầu."
17,Bị cảnh cáo học vụ mấy lần thì đuổi học z?,Sinh viên sẽ bị buộc thôi học (đuổi học) nếu bị cảnh cáo học tập 3 lần liên tiếp.,"Theo quy định của Trường ĐH Sư phạm Kỹ thuật TP.HCM, sinh viên sẽ bị buộc thôi học (đuổi học) khi **có 3 lần cảnh báo / cảnh cáo học tập liên tiếp**.",6.01,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định sinh viên sẽ bị buộc thôi học khi có 3 lần cảnh cáo học tập liên tiếp, phù hợp với chuẩn. Không có chi tiết quan trọng nào bị thiếu hoặc sai."
18,rút bớt môn học trong đợt đkmh là có bị mất tiền k ạ?,"Nếu bạn rút bớt trong thời gian 'điều chỉnh đăng ký học phần' thì sẽ không mất học phí. Tuy nhiên, nếu rút bớt trong tuần 5 của học kỳ chính, bạn sẽ mất toàn bộ học phí cho các môn đã rút.","Có. Theo quy chế:

- **Trong thời gian điều chỉnh đăng ký học phần** (đợt rút bớt qua mạng), sinh viên **không phải đóng học phí** cho các học phần đã rút.  
- **Sau thời gian trên**, nếu sinh viên rút bớt trong vòng 1 tuần (tuần 5 của mỗi đợt học) theo thông báo của Phòng Đào tạo, **phải đóng học phí** cho các học phần đã rút.  

Vì vậy, việc có mất tiền hay không phụ thuộc vào thời điểm rút bớt.",9.46,10.0,"Câu trả lời của AI nêu rõ hai trường hợp: rút bớt trong thời gian 'điều chỉnh đăng ký học phần' không mất học phí, và rút bớt trong tuần 5 của học kỳ chính sẽ mất toàn bộ học phí. Nội dung hoàn toàn khớp với chuẩn, không thiếu chi tiết quan trọng."
19,đi trễ giờ thực tập bị trừ đrl không?,"Có, đến muộn giờ học hoặc giờ thực tập sẽ bị trừ 1 điểm rèn luyện mỗi lần.",Tôi không tìm thấy thông tin trong các văn bản trên liên quan đến việc trừ điểm rèn luyện (đrl) khi sinh viên đi trễ giờ thực tập.,4.79,1.0,"Câu trả lời của AI hoàn toàn sai so với chuẩn. Ground truth cho biết rằng việc đi trễ giờ thực tập sẽ bị trừ 1 điểm rèn luyện mỗi lần, trong khi AI lại khẳng định không tìm thấy thông tin liên quan, tức là cung cấp thông tin không đúng và gây hiểu lầm."
20,ĐTBTL bao nhiêu thì bị đưa vào diện thử thách học tập v?,"Sinh viên bị thử thách học tập nếu ĐTB Tích lũy dưới 1.2 (năm 1), dưới 1.4 (năm 2), dưới 1.6 (năm 3), hoặc dưới 1.8 (năm tiếp theo).","ĐTBTL (điểm trung bình tích lũy) sẽ đưa sinh viên vào diện **thử thách học tập** khi:

- **Năm thứ nhất:** ĐTBTL < 1,2  
- **Năm thứ hai:** ĐTBTL < 1,4  
- **Năm thứ ba:** ĐTBTL < 1,6  
- **Các năm tiếp theo (năm thứ tư trở lên):** ĐTBTL < 1,8.",1.63,10.0,"Câu trả lời của AI truyền đạt đúng và đầy đủ các ngưỡng ĐTB Tích lũy cho từng năm như trong chuẩn: <1.2 năm 1, <1.4 năm 2, <1.6 năm 3, và <1.8 các năm tiếp theo. Không có thông tin sai hay thiếu sót."
21,Điểm chữ D có được tính là qua môn và tích lũy tín chỉ không?,"Tùy thuộc vào học kỳ. Học phần học ở HK1/2021-2022 đến HK1/2022-2023 thì chỉ cần từ điểm D là đạt. Nhưng từ HK2/2022-2023 trở về sau, phải đạt từ điểm D+ trở lên mới được tính là đạt và tích lũy.","**Có**, nhưng chỉ trong một khoảng thời gian và đối tượng đào tạo nhất định:

- **Học kỳ 1/2021‑2022 → Học kỳ 1/2022‑2023**:  
  - Điểm chữ **D** được xếp **“đạt”** (theo bảng phân loại của nguồn #3).  
  - Do vậy, học phần có điểm D **được tính là qua môn** và **tín chỉ được tích lũy** (theo quy định “đạt từ điểm D trở lên” – nguồn #3, #4, #5).

- **Học kỳ 2/2022‑2023 trở về sau**:  
  - Điểm chữ **D** được xếp **“không đạt”** (bảng phân loại của nguồn #3).  
  - Khi đó, học phần **không được tính tích lũy**; chỉ từ **D+** trở lên mới được coi là đạt và tích lũy tín chỉ.

- **Đối tượng đào tạo**:  
  - Đối với **đào tạo theo tín chỉ** (theo niên chế) trong giai đoạn trên, D vẫn là đạt (đối với tín chỉ) trong học kỳ 1/2021‑2022 → 1/2022‑2023; sau đó yêu cầu D+.  
  - Đối với **đào tạo theo niên chế**, quy định luôn yêu cầu **từ D+ trở lên** mới được tính tích lũy (nguồn #5).

**Tóm lại:**  
- **Có** tính qua môn và tích lũy tín chỉ khi điểm chữ D nằm trong học kỳ 1/2021‑2022 đến 1/2022‑2023 (và áp dụng cho đào tạo theo tín chỉ).  
- **Không** tính qua môn và không tích lũy tín chỉ cho các học kỳ từ 2/2022‑2023 trở đi; lúc đó cần ít nhất D+.",6.15,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: nêu rõ rằng trong học kỳ HK1/2021‑2022 đến HK1/2022‑2023 điểm D được tính là đạt và tích lũy tín chỉ, còn từ HK2/2022‑2023 trở về sau cần ít nhất D+ mới đạt. Ngoài ra AI còn bổ sung chi tiết về loại hình đào tạo mà không gây mâu thuẫn, nên đáp ứng đầy đủ yêu cầu."
22,Khóa 2024 học phí chương trình chuẩn đã bao gồm tiền môn Giáo dục quốc phòng và an ninh chưa?,"Chưa. Học phí khóa 2024 không bao gồm các học phần GDQP&AN, sinh viên phải đóng riêng với đơn giá 853.000 đồng/tín chỉ.","Không, học phí khóa 2024 của chương trình chuẩn **không bao gồm** học phần Giáo dục quốc phòng và an ninh.",10.75,9.0,"Câu trả lời của AI truyền đạt đúng ý chính: học phí khóa 2024 của chương trình chuẩn không bao gồm môn Giáo dục quốc phòng và an ninh. Mặc dù không nêu chi tiết về mức phí riêng (853.000 đồng/tín chỉ), nhưng đáp ứng đầy đủ yêu cầu của câu hỏi."
23,Em nộp chứng chỉ tiếng Anh quốc tế vào học kỳ 8 để xin miễn thi học phần Kỹ năng giao tiếp TA 1 có được không?,Không được. Sinh viên chỉ được sử dụng chứng chỉ để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,"Không. Theo quy định, sinh viên chỉ được dùng chứng chỉ tiếng Anh quốc tế để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh trong 7 học kỳ đầu tiên. Từ học kỳ thứ 8 trở đi, sinh viên phải đăng ký học các học phần này thay vì xin miễn thi.",1.39,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: xác nhận rằng không được phép dùng chứng chỉ tiếng Anh quốc tế để xin miễn thi học phần Kỹ năng giao tiếp TA 1 ở học kỳ 8, vì chỉ áp dụng trong 7 học kỳ đầu tiên."
24,Chứng chỉ TOEIC 2 kỹ năng 500 điểm có được dùng để miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1 không?,"Không. Việc miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1 yêu cầu sinh viên phải sử dụng chứng chỉ TOEIC 4 kỹ năng (mức điểm 385-785), không chấp nhận TOEIC 2 kỹ năng.","Không. Theo quy định chỉ chấp nhận chứng chỉ TOEIC **4 kỹ năng** với điểm từ 385‑785 (cấp A2) để được miễn thi học phần Kỹ năng giao tiếp tiếng Anh 1. Chứng chỉ TOEIC **2 kỹ năng** 500 điểm không nằm trong danh sách các chứng chỉ được công nhận, vì vậy không được dùng để miễn thi học phần này.",5.67,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: nói rõ không được miễn thi, yêu cầu chứng chỉ TOEIC 4 kỹ năng với điểm 385‑785 và không chấp nhận TOEIC 2 kỹ năng 500 điểm. Nội dung đầy đủ, chi tiết và không có sai sót."
25,Sinh viên học lực Yếu bị cảnh báo học tập thì có bị giới hạn số tín chỉ đăng ký không?,"Không bị giới hạn cụ thể (vẫn có thể đăng ký từ 10 đến 28 tín chỉ). Tuy nhiên, các sinh viên bị cảnh báo học tập cần tham khảo ý kiến tư vấn viên ở các đơn vị đào tạo để điều chỉnh kế hoạch học tập cho phù hợp.","Không có quy định riêng giới hạn số tín chỉ đăng ký đối với sinh viên bị **cảnh báo học tập**.  Các sinh viên, dù bị cảnh báo hay không, chỉ phải tuân thủ quy định chung về khối lượng học tập trong mỗi học kỳ (tối thiểu 10 tín chỉ, tối đa 28 tín chỉ, trừ các trường hợp đặc biệt được nêu ở Khoản 4 của Quy chế). Vì vậy, sinh viên học lực yếu bị cảnh báo học tập không bị áp đặt một giới hạn tín chỉ đăng ký bổ sung.",7.57,9.0,"Câu trả lời của AI truyền đạt đúng ý chính: sinh viên bị cảnh báo học tập không có giới hạn tín chỉ riêng, vẫn đăng ký từ 10‑28 tín chỉ theo quy định chung. Thông tin này hoàn toàn khớp với chuẩn. Tuy nhiên AI không nhắc tới lời khuyên tham khảo ý kiến tư vấn viên như trong chuẩn, nên chưa đạt điểm tối đa."
26,Sinh viên học cùng lúc 2 chương trình có được cấp 2 bằng tốt nghiệp cùng lúc không?,Sinh viên chỉ được xét tốt nghiệp chương trình thứ 2 nếu đã có đủ điều kiện tốt nghiệp ở chương trình thứ 1 và đã đăng ký muộn nhất 2 năm trước thời điểm xét tốt nghiệp chương trình thứ 2.,"**Có**, sinh viên có thể được xét tốt nghiệp và cấp bằng cho cả hai chương trình, nhưng phải đáp ứng các điều kiện sau:

1. Đã hoàn thành đủ điều kiện tốt nghiệp chương trình thứ nhất.  
2. Đã đăng ký học chương trình thứ hai **ít nhất 2 năm** trước thời điểm xét tốt nghiệp chương trình thứ hai.  
3. Đạt các tiêu chuẩn học lực và các yêu cầu bảo đảm chất lượng của chương trình thứ hai (theo Điều 20, khoản 2).  

Nếu các điều kiện này được thỏa mãn, sinh viên có thể nhận hai bằng tốt nghiệp (có thể cùng lúc hoặc trong các đợt tốt nghiệp khác nhau tùy quyết định của Trường).  

*Nếu không đáp ứng các điều kiện trên, sinh viên sẽ không được xét tốt nghiệp và cấp bằng cho chương trình thứ hai.*",10.45,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên chỉ được xét tốt nghiệp chương trình thứ hai nếu đã đủ điều kiện tốt nghiệp chương trình thứ nhất và đã đăng ký không muộn hơn 2 năm trước thời điểm xét tốt nghiệp. AI cũng khẳng định có thể nhận hai bằng nếu đáp ứng các điều kiện này, đồng thời bổ sung một số yêu cầu chung không sai. Vì đáp ứng đầy đủ nội dung chính và không có sai lệch, nên điểm cao (8‑10)."
27,Sinh viên đạt 2 danh hiệu là 'Sinh viên 5 tốt cấp trường' và 'Cán bộ đoàn tiêu biểu cấp trường' thì được tiền thưởng là bao nhiêu?,Tổng cộng 1.700.000 đồng (1.000.000 đồng cho SV 5 tốt cấp trường + 700.000 đồng cho Cán bộ đoàn tiêu biểu cấp trường).,Tôi không tìm thấy.,1.64,1.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' và không cung cấp bất kỳ thông tin nào về số tiền thưởng. Điều này hoàn toàn sai so với chuẩn đáp án là 1.700.000 đồng, nên chỉ đạt mức 1-3 điểm."
28,"Sinh viên có điểm trung bình tích lũy toàn khóa loại Giỏi, nhưng năm 2 từng bị kỷ luật đình chỉ học tập 1 năm do thi hộ, thì khi tốt nghiệp sẽ bị xếp hạng bằng loại gì?",Xếp loại Khá. Bằng tốt nghiệp của sinh viên bị giảm đi một mức (từ Giỏi xuống Khá) do đã từng bị kỷ luật từ mức cảnh cáo trở lên trong thời gian học.,"Sinh viên sẽ bị **giảm một mức hạng** do đã bị kỷ luật từ mức cảnh cáo trở lên (đình chỉ học tập). Vì điểm trung bình toàn khóa thuộc loại **Giỏi**, hạng tốt nghiệp sẽ được hạ xuống **Khá**.",2.13,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên sẽ bị giảm một mức hạng do kỷ luật và do điểm trung bình là Giỏi nên hạng tốt nghiệp sẽ hạ xuống Khá, đúng với chuẩn Xếp loại Khá."
29,Điểm I (hoãn thi) có thể được bảo lưu và gia hạn nợ qua các năm được không?,Không. Sinh viên được yêu cầu phải thi trả nợ điểm I trong tối đa 2 học kỳ tiếp theo. Nếu quá hạn sẽ không được giữ điểm I.,"**Trả lời:**  

- **Điểm I (hoãn thi)** chỉ được **bảo lưu tối đa hai học kỳ** tiếp theo (theo quy định “In đơn điểm I … để lưu và trả điểm I ở tối đa hai học kỳ tiếp theo”).  
- **Việc gia hạn nợ** được quy định riêng trong chính sách tín dụng và không liên quan tới việc bảo lưu điểm I. Ngân hàng chỉ cho phép gia hạn thời hạn trả nợ tối đa bằng **1/2 thời hạn trả nợ** và không cho phép kéo dài nợ “qua các năm” dựa trên điểm I.  

Vì vậy, **điểm I không thể được bảo lưu và gia hạn nợ qua các năm**; nó chỉ được giữ lại trong thời gian tối đa hai học kỳ, còn việc gia hạn nợ phải tuân theo các quy định riêng về nợ học phí và vay vốn.",2.03,9.0,"Câu trả lời của AI truyền đạt đúng ý chính: điểm I chỉ được bảo lưu tối đa hai học kỳ và không thể kéo dài qua các năm. Nội dung bổ sung về việc gia hạn nợ ngân hàng không ảnh hưởng đến tính đúng đắn của câu trả lời, chỉ là thông tin thừa. Vì vậy đáp ứng tiêu chí 8‑10 điểm."
30,Uống bia rượu trong giờ học lần thứ 2 sẽ bị trường xử lý kỷ luật ở mức nào?,Cảnh cáo.,"Theo quy định, uống rượu, bia trong giờ học lần thứ 2 sẽ bị xử lý **cảnh cáo**.",1.73,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định rằng mức kỷ luật là ""cảnh cáo"" như trong chuẩn. Không có chi tiết thừa hoặc thiếu, đáp ứng đầy đủ yêu cầu."
31,Sinh viên hệ đại trà K2023 làm đơn xin kéo dài thời gian làm khóa luận tốt nghiệp trong 3 tháng thì phải đóng mức phí tổng cộng là bao nhiêu?,3.000.000 đồng.,Tôi không tìm thấy.,1.5,1.0,"Câu trả lời của AI là 'Tôi không tìm thấy', không cung cấp mức phí yêu cầu. Đáp án đúng là 3.000.000 đồng, vì vậy AI đã không truyền đạt thông tin chuẩn và sai hoàn toàn."
32,Sinh viên ngành Kỹ thuật cơ khí có thể đăng ký học môn 'Sức bền vật liệu (Cơ khí)' ngay trong học kỳ đầu tiên không?,"Không. Môn Sức bền vật liệu (Cơ khí) yêu cầu phải học trước học phần tiên quyết là 'Cơ kỹ thuật' (ENME142020), môn này thường được bố trí ở học kỳ 2.","Theo thông tin trong các nguồn tài liệu (Nguồn #3 và Nguồn #4), môn **“Sức bền vật liệu”** không có điều kiện tiên quyết nào được nêu ra. Vì vậy, sinh viên ngành Kỹ thuật Cơ khí **có thể đăng ký học môn này ngay trong học kỳ đầu tiên** nếu lịch trình học và quy định đăng ký môn học của trường cho phép.",1.61,1.0,"Câu trả lời của AI hoàn toàn sai so với chuẩn. Ground Truth nói rằng môn 'Sức bền vật liệu (Cơ khí)' có học phần tiên quyết là 'Cơ kỹ thuật' và do đó không thể đăng ký trong học kỳ đầu tiên. AI lại khẳng định không có tiên quyết và có thể đăng ký ngay, trái ngược hoàn toàn với thông tin đúng."
33,Thời gian làm khảo sát giảng viên đợt cuối (KSE) của học kỳ 2 là vào những tuần nào?,Tuần 36 và tuần 47.,Thời gian làm khảo sát giảng viên đợt cuối (KSE) của học kỳ 2 là **tuần 36 và tuần 47**.,1.87,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn: tuần 36 và tuần 47."
34,Sinh viên đạt điểm trung bình học tập 8.3 và điểm rèn luyện 92 thì được xét cấp học bổng khuyến khích học tập bằng bao nhiêu % mức học phí?,Bằng 110% mức học phí.,"Sinh viên đáp ứng tiêu chí của học bổng loại B (điểm trung bình ≥ 8,0 và điểm rèn luyện ≥ 80).  
Giá trị học bổng loại B = 1,15 × mức học bổng loại Khá = 1,15 × 100 % học phí = **115 % mức học phí**.",1.86,2.0,"Câu trả lời của AI không khớp với đáp án chuẩn. Đáp án chuẩn là 110% mức học phí, trong khi AI đưa ra 115% mức học phí, sai lệch và không đúng thông tin yêu cầu."
35,Sinh viên nộp chứng chỉ Aptis B1 để xin miễn học phần Kỹ năng giao tiếp Tiếng Anh 1 vào tuần thứ 3 của học kỳ (tức là đã qua thời gian điều chỉnh đăng ký học phần) thì có được trường hoàn lại tiền học phí môn này không?,"Không. Nếu rút môn học sau thời gian điều chỉnh học phần (ví dụ tuần thứ 5), sinh viên không được hoàn lại học phí.","Không. Theo quy định, khi sinh viên nộp chứng chỉ để được miễn (hoặc chuyển điểm) các học phần ngoại ngữ, họ **không được đăng ký học phần đó trong học kỳ**. Nếu đã đăng ký và sau đó mới nộp chứng chỉ (như trong trường hợp tuần 3), nhà trường **không xử lý chuyển điểm** cho học phần đã đăng ký và học phí của học phần đó vẫn phải đóng theo quy định. Vì tài liệu không đề cập tới việc hoàn lại học phí, nên sinh viên sẽ không được hoàn tiền học phí môn Kỹ năng giao tiếp tiếng Anh 1.",6.93,9.0,"Câu trả lời của AI truyền đạt đúng ý chính của chuẩn: sinh viên không được hoàn lại học phí khi nộp chứng chỉ sau thời gian điều chỉnh đăng ký học phần. Nội dung bổ sung về việc không được đăng ký và không xử lý chuyển điểm là chính xác và không làm sai lệch thông tin, vì vậy đáp ứng tiêu chí 8-10 điểm."
